biological regulation	GO:0065007
metabolic process	GO:0008152
immune system process	GO:0002376
rhythmic process	GO:0048511
reproductive process	GO:0022414
developmental process	GO:0032502
reproduction	GO:0000003
signaling	GO:0023052
cell killing	GO:0001906
localization	GO:0051179
locomotion	GO:0040011
biological adhesion	GO:0022610
response to stimulus	GO:0050896
establishment of localization	GO:0051234
growth	GO:0040007
cellular component organization or biogenesis	GO:0071840
multi+AC0-organism process	GO:0051704
multicellular organismal process	GO:0032501
single+AC0-organism process	GO:0044699
cellular process	GO:0009987
